id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,stemno,htave,ht,basm,ba
66,1,8,7,3,8,2,1.90,2013,U08as,65,31,1,17.50,17.50,0.0018,0.0197
67,1,8,7,4,8,2,2.60,2013,U08as,65,31,1,20.00,20.00,0.0034,0.0369
68,1,8,7,5,8,3,3.20,2013,U08as,68,30,1,24.00,24.00,0.0052,0.0559
69,1,8,7,6,8,3,3.19,2013,U08as,68,30,2,21.25,21.50,0.0052,0.0555
70,1,8,7,7,8,4,3.40,2013,U08as,75,29,1,23.00,23.00,0.0059,0.0630
71,1,8,7,8,8,5,0.00,2013,U08as,75,102,NA,NA,NA,NA,NA
72,1,8,7,9,8,4,2.20,2013,U08as,75,29,1,17.00,17.00,0.0025,0.0264
73,1,8,7,1,9,1,4.12,2013,U08as,66,33,2,20.50,22.00,0.0086,0.0927
74,1,8,7,2,9,1,3.70,2013,U08as,66,33,3,20.00,22.00,0.0069,0.0746
75,1,8,7,3,9,2,2.30,2013,U08as,63,34,1,22.50,22.50,0.0027,0.0289
76,1,8,7,4,9,2,3.47,2013,U08as,63,34,2,21.50,22.00,0.0061,0.0655
77,1,8,7,5,9,3,2.97,2013,U08as,76,35,2,19.50,19.50,0.0045,0.0482
78,1,8,7,6,9,3,3.12,2013,U08as,76,35,2,20.50,20.50,0.0049,0.0532
79,1,8,7,7,9,4,2.50,2013,U08as,70,36,1,21.00,21.00,0.0032,0.0341
80,1,8,7,8,9,4,1.10,2013,U08as,70,36,1,14.00,14.00,0.0006,0.0066
81,1,8,7,9,9,5,3.55,2013,U08as,74,100,2,22.50,25.00,0.0064,0.0686
82,1,8,7,1,10,1,2.10,2013,U08as,63,40,1,19.00,19.00,0.0022,0.0241
83,1,8,7,2,10,1,2.11,2013,U08as,63,40,2,17.25,20.50,0.0023,0.0243
84,1,8,7,3,10,2,3.20,2013,U08as,69,39,1,23.00,23.00,0.0052,0.0559
85,1,8,7,4,10,2,2.80,2013,U08as,69,39,1,23.50,23.50,0.004,0.0428
86,1,8,7,5,10,3,1.70,2013,U08as,63,38,1,19.00,19.00,0.0015,0.0158
87,1,8,7,6,10,3,2.70,2013,U08as,63,38,1,24.00,24.00,0.0037,0.0398
88,1,8,7,7,10,4,2.30,2013,U08as,73,37,1,21.50,21.50,0.0027,0.0289
89,1,8,7,8,10,5,2.78,2013,U08as,75,104,2,20.50,21.00,0.0039,0.0422
90,1,8,7,9,10,4,3.88,2013,U08as,73,37,3,20.33,23.00,0.0076,0.0819
91,1,8,7,1,11,1,2.70,2013,U08as,70,41,1,20.00,20.00,0.0037,0.0398
92,1,8,7,2,11,1,3.20,2013,U08as,70,41,1,23.00,23.00,0.0052,0.0559
93,1,8,7,3,11,2,2.70,2013,U08as,74,42,1,22.50,22.50,0.0037,0.0398
94,1,8,7,4,11,2,2.76,2013,U08as,74,42,2,21.00,21.50,0.0039,0.0415
95,1,8,7,5,11,3,3.30,2013,U08as,74,43,1,24.00,24.00,0.0055,0.0594
96,1,8,7,6,11,3,3.36,2013,U08as,74,43,3,20.50,23.50,0.0057,0.0617
97,1,8,7,7,11,4,2.50,2013,U08as,64,44,1,22.50,22.50,0.0032,0.0341
98,1,8,7,8,11,4,2.00,2013,U08as,64,44,1,18.00,18.00,0.002,0.0218
99,1,8,7,9,11,5,2.90,2013,U08as,73,105,1,22.00,22.00,0.0043,0.0459
100,1,8,7,1,12,1,2.80,2013,U08as,64,48,1,21.50,21.50,0.004,0.0428
101,1,8,7,2,12,1,3.00,2013,U08as,64,48,1,20.50,24.50,0.0046,0.0491
102,1,8,7,3,12,2,2.50,2013,U08as,72,47,1,23.50,23.50,0.0032,0.0341
103,1,8,7,4,12,2,2.30,2013,U08as,72,47,1,21.00,21.00,0.0027,0.0289
104,1,8,7,5,12,3,3.00,2013,U08as,73,46,1,23.00,23.00,0.0046,0.0491
105,1,8,7,6,12,3,2.10,2013,U08as,73,46,1,20.50,20.50,0.0022,0.0241
106,1,8,7,7,12,5,0.00,2013,U08as,66,106,NA,NA,NA,NA,NA
107,1,8,7,8,12,4,2.80,2013,U08as,67,45,1,21.00,21.00,0.004,0.0428
108,1,8,7,9,12,3,2.40,2013,U08as,NM6,63,1,20.00,20.00,0.0029,0.0314
109,1,8,7,1,13,1,3.20,2013,U08as,69,49,1,22.00,22.00,0.0052,0.0559
110,1,8,7,2,13,1,2.30,2013,U08as,69,49,1,19.50,19.50,0.0027,0.0289
