"id"	"setid"	"longft"	"shortft"	"row"	"col"	"block"	"dbh"	"year"	"site"	"name"	"plot"	"ibap"	"iba"	"ibamai"	"batot"	"ht"	"stms"	"canker"	"nline"	"neline"	"eline"	"seline"	"sline"	"swline"	"wline"	"nwline"	"lineindex"	"areaindex"	"sname2"	"ndbh"	"nedbh"	"edbh"	"sedbh"	"sdbh"	"swdbh"	"wdbh"	"nwdbh"	"sname3"	"dbhc"	"dbha"	"dbhr"	"sdbhr1d"	"sdbhr2d"	"bar"	"sbar"
"1007"	1007	6	9	9	20	12	"6"	4.4	"2010"	"U07m"	"NM6"	"56"	177	0.046	0.018	0.108	NA	NA	NA	4.1	12.7	9	12.7	4	6.8	5	6	60.32	158.29	"NM6"	47	NA	NA	NA	48	32	30	44	"NM6"	5	2.89	1.52	5.25	4.91	1.41	5.66
"1021"	1021	5	9	9	13	1	"4"	5.1	"2009"	"U07m"	"83XAA04"	"4"	145	0.046	0.028	0.139	NA	NA	NA	9	6.7	9	8.1	4.5	12.7	9	12.7	71.72	222.74	"83XAA04"	NA	40	NA	23	46	NA	NA	NA	"83XAA04"	3	1.59	3.21	2.49	3.85	3.68	2.18
"1022"	1022	5	9	9	14	1	"4"	5.2	"2009"	"U07m"	"83XAA04"	"4"	167	0.059	0.03	0.15	NA	NA	NA	4.5	12.7	5.8	9.1	4.3	12.7	9	12.7	70.83	199.2	"83XAA04"	45	NA	23	15	52	NA	NA	NA	"83XAA04"	4	1.99	2.62	3.06	6.19	2.98	2.68
"1023"	1023	5	9	9	15	1	"4"	5.8	"2009"	"U07m"	"83XAA04"	"4"	131	0.05	0.037	0.183	NA	NA	NA	4.7	8.5	6.6	12.7	5	12.7	9	12.7	71.99	210.89	"83XAA04"	46	23	15	NA	41	NA	NA	NA	"83XAA04"	4	1.86	3.11	2.57	7.11	4.34	1.84
"1024"	1024	5	9	9	16	1	"4"	4.7	"2009"	"U07m"	"83XAA04"	"4"	186	0.056	0.025	0.123	NA	NA	NA	4	8.8	9	7	4.9	12.7	9	12.7	68.24	196.42	"83XAA04"	52	15	NA	32	33	NA	NA	NA	"83XAA04"	4	1.95	2.41	3.32	5.49	2.61	3.06
"1030"	1030	5	9	9	1	2	"1"	5.3	"2009"	"U07m"	"80XAA04"	"10"	178	0.066	0.031	0.153	NA	NA	NA	9	12.7	4.6	6.3	5.5	9.6	6	12.7	66.54	190.57	"80XAA04"	NA	NA	44	48	27	8	21	NA	"80XAA04"	5	2.26	2.34	3.42	8.73	2.99	2.68
"1031"	1031	5	9	9	2	2	"1"	3.3	"2009"	"U07m"	"80XAA04"	"10"	176	0.025	0.012	0.059	NA	NA	NA	3.5	5.1	3.4	5.4	4.4	6	5.9	7	40.69	72.48	"80XAA04"	47	44	48	39	28	31	8	21	"80XAA04"	8	3.96	0.83	9.61	7.65	0.63	12.67
"1032"	1032	5	9	9	3	2	"1"	3.4	"2009"	"U07m"	"80XAA04"	"10"	159	0.023	0.013	0.063	NA	NA	NA	4.6	4.9	3.9	4.8	5.6	7.7	4.3	8.5	44.2	84.15	"80XAA04"	27	48	39	51	15	16	31	8	"80XAA04"	8	3.57	0.95	8.41	9.1	0.78	10.26
"1033"	1033	5	9	9	4	2	"1"	2.1	"2009"	"U07m"	"80XAA04"	"10"	151	0.008	0.005	0.024	NA	NA	NA	3.4	4	2.4	4.7	2.9	5.2	4.4	4.6	31.75	43.52	"80XAA04"	28	39	51	30	38	24	16	31	"80XAA04"	8	3.81	0.55	14.52	4.74	0.28	28.15
"1046"	1046	5	9	9	17	2	"5"	3.8	"2009"	"U07m"	"80XAA04"	"6"	98	0.015	0.016	0.078	NA	NA	NA	9	6.4	3.9	5.9	4.5	5.4	4.4	5.7	45.21	90.7	"80XAA04"	NA	32	44	38	32	45	33	41	"80XAA04"	7	3.84	0.99	8.08	6.15	0.85	9.46
"1047"	1047	5	9	9	18	2	"5"	3.8	"2009"	"U07m"	"80XAA04"	"6"	102	0.015	0.015	0.077	NA	NA	NA	4.5	5.5	4.2	6.8	3.6	5.7	3.8	6.3	40.36	68.9	"80XAA04"	32	44	38	27	52	41	45	33	"80XAA04"	8	4.5	0.84	9.47	6.96	0.69	11.54
"1048"	1048	5	9	9	19	2	"5"	5.8	"2009"	"U07m"	"80XAA04"	"6"	133	0.052	0.037	0.186	NA	NA	NA	5.4	7.2	5.7	7.2	5	9	5	6.8	51.41	112.84	"80XAA04"	32	38	27	38	40	18	41	45	"80XAA04"	8	4.09	1.42	5.64	11.97	1.94	4.13
"1049"	1049	5	9	9	20	2	"5"	4.6	"2009"	"U07m"	"80XAA04"	"6"	124	0.03	0.024	0.118	NA	NA	NA	4	7.4	4.6	6	6.5	12.7	5.9	6.3	53.43	123.85	"80XAA04"	52	27	38	45	9	NA	18	41	"80XAA04"	7	3.44	1.34	5.98	9.59	1.4	5.72
"1051"	1051	5	9	9	1	3	"1"	5	"2009"	"U07m"	"83XAA04"	"11"	145	0.045	0.028	0.138	NA	NA	NA	9	12.7	9	8.3	4.3	7.7	4.4	12.7	68.08	203.68	"83XAA04"	NA	NA	NA	21	48	27	47	NA	"83XAA04"	4	2.09	2.4	3.34	5.24	2.65	3.02
"1052"	1052	5	9	9	2	3	"1"	5.4	"2009"	"U07m"	"83XAA04"	"11"	148	0.053	0.032	0.158	NA	NA	NA	4.7	12.7	6	11.9	4.9	7.8	5.6	6.4	59.98	146.01	"83XAA04"	44	NA	21	95	39	28	27	47	"83XAA04"	7	3.08	1.76	4.56	22.02	2.26	3.54
"1053"	1053	5	9	9	3	3	"1"	4.5	"2009"	"U07m"	"83XAA04"	"11"	167	0.043	0.022	0.11	NA	NA	NA	4.1	8	8.3	12.2	4	8.7	5.1	7.3	57.62	139.31	"83XAA04"	48	21	95	93	51	15	28	27	"83XAA04"	8	2.9	1.55	5.16	41.87	1.69	4.74
"1054"	1054	5	9	9	4	3	"1"	5.7	"2009"	"U07m"	"83XAA04"	"11"	165	0.069	0.035	0.176	NA	NA	NA	5	11.9	8.7	7.4	5.5	7.2	6.6	8	60.27	158.33	"83XAA04"	39	95	93	35	30	38	15	28	"83XAA04"	8	2.84	2.01	3.98	52.68	3.04	2.63
"1059"	1059	5	9	9	9	3	"4"	5.4	"2009"	"U07m"	"80XAA04"	"13"	162	0.06	0.031	0.157	NA	NA	NA	5.6	7.3	7.1	9.4	5.7	7.9	6.1	8.3	57.43	142.82	"80XAA04"	27	34	5	10	25	27	20	23	"80XAA04"	8	2.81	1.92	4.17	17	3.42	2.34
"1060"	1060	5	9	9	10	3	"4"	3.1	"2009"	"U07m"	"80XAA04"	"13"	137	0.016	0.01	0.052	NA	NA	NA	3.3	8.8	5.6	11.3	5.1	5.3	4.4	6.9	50.59	106.41	"80XAA04"	48	5	10	95	18	37	27	20	"80XAA04"	8	2.71	1.14	7	16.31	1	7.99
"1061"	1061	5	9	9	11	3	"4"	2.4	"2009"	"U07m"	"80XAA04"	"13"	40	0.004	0.006	0.032	NA	NA	NA	3.9	7.1	7.7	10.2	2.7	4.4	3.2	5.4	44.61	89.6	"80XAA04"	25	10	95	97	49	40	37	27	"80XAA04"	8	2.96	0.81	9.88	14.28	0.49	16.41
"1062"	1062	5	9	9	12	3	"4"	5.5	"2009"	"U07m"	"80XAA04"	"13"	144	0.054	0.033	0.165	NA	NA	NA	6.3	11.9	8.1	8.1	4.8	12.7	4.9	7.1	63.92	169.05	"80XAA04"	18	95	97	25	43	NA	40	37	"80XAA04"	7	2.54	2.17	3.69	30.58	3.04	2.63
"1067"	1067	5	9	9	17	3	"5"	5	"2009"	"U07m"	"83XAA04"	"15"	164	0.052	0.027	0.134	NA	NA	NA	5.1	6.6	6	6.5	4.8	7.2	5.1	12.7	54.1	122.15	"83XAA04"	32	40	19	42	38	32	32	NA	"83XAA04"	7	3.46	1.44	5.54	9.21	1.77	4.53
"1068"	1068	5	9	9	18	3	"5"	4.4	"2009"	"U07m"	"83XAA04"	"15"	136	0.031	0.021	0.106	NA	NA	NA	4.2	8.1	4.3	7.1	5.1	5.5	4.8	6.8	46.01	89.31	"83XAA04"	44	19	42	29	27	52	32	32	"83XAA04"	8	4.06	1.08	7.39	9.22	1.11	7.23
"1069"	1069	5	9	9	19	3	"5"	3.3	"2009"	"U07m"	"83XAA04"	"15"	145	0.02	0.012	0.059	NA	NA	NA	3.9	5.2	4.4	5.1	3.9	5.3	3.3	5.9	36.89	58.25	"83XAA04"	38	42	29	43	38	40	52	32	"83XAA04"	8	4.52	0.73	10.97	5.96	0.52	15.36
"1070"	1070	5	9	9	20	3	"5"	4.4	"2009"	"U07m"	"83XAA04"	"15"	141	0.033	0.022	0.108	NA	NA	NA	5.1	7.1	4.3	6.7	4.2	9	4.4	5.5	46.25	89.31	"83XAA04"	27	29	43	34	45	9	40	52	"83XAA04"	8	4.12	1.07	7.5	9.61	1.05	7.6
"1135"	1135	5	9	9	1	7	"2"	4.2	"2009"	"U07m"	"83XAA04"	"31"	130	0.026	0.019	0.097	NA	NA	NA	9	12.7	6.9	12.7	4.1	6.3	3.9	12.7	68.39	196.95	"83XAA04"	NA	NA	4	NA	44	37	48	NA	"83XAA04"	4	2	2.1	3.81	5.83	1.9	4.21
"1136"	1136	5	9	9	2	7	"2"	5	"2009"	"U07m"	"83XAA04"	"31"	173	0.056	0.027	0.135	NA	NA	NA	4.9	10.1	9	11.2	4.9	6.8	4.8	6.1	57.9	149.38	"83XAA04"	36	4	NA	98	35	37	37	48	"83XAA04"	7	3.04	1.65	4.86	16.65	1.95	4.11
"1137"	1137	5	9	9	3	7	"2"	4.1	"2009"	"U07m"	"83XAA04"	"31"	189	0.043	0.018	0.092	NA	NA	NA	4.1	12.7	7.7	9.5	4.1	10.2	4.4	6.2	58.85	141.35	"83XAA04"	44	NA	98	5	44	1	37	37	"83XAA04"	7	2.71	1.51	5.29	16.43	1.49	5.38
"1138"	1138	5	9	9	4	7	"2"	5	"2009"	"U07m"	"83XAA04"	"31"	165	0.053	0.027	0.136	NA	NA	NA	4.9	11.2	7	8	8.2	7.3	7.5	6.8	60.94	160.73	"83XAA04"	35	98	5	24	96	31	1	37	"83XAA04"	8	2.34	2.14	3.74	31.11	3.24	2.47
"1147"	1147	5	9	9	13	7	"3"	5.3	"2009"	"U07m"	"83XAA04"	"34"	164	0.06	0.031	0.155	NA	NA	NA	8.5	7.6	5.5	7.8	4.6	12.7	9	8.3	64.11	178.49	"83XAA04"	94	30	28	27	44	NA	NA	22	"83XAA04"	6	2.3	2.3	3.47	25.26	3.29	2.43
"1148"	1148	5	9	9	14	7	"3"	5	"2009"	"U07m"	"83XAA04"	"34"	161	0.05	0.027	0.135	NA	NA	NA	4.4	7.6	5.4	12.7	4.4	12.7	9	12.7	68.96	190.99	"83XAA04"	47	28	27	NA	46	NA	NA	NA	"83XAA04"	4	2.15	2.33	3.44	4.89	2.58	3.1
"1149"	1149	5	9	9	15	7	"3"	5.2	"2009"	"U07m"	"83XAA04"	"34"	148	0.05	0.03	0.149	NA	NA	NA	4.6	7.8	9	8.6	4.4	9.6	9	12.7	65.71	184.82	"83XAA04"	44	27	NA	19	48	8	NA	NA	"83XAA04"	5	2.24	2.32	3.44	8.72	2.92	2.74
"1150"	1150	5	9	9	16	7	"3"	5.4	"2009"	"U07m"	"83XAA04"	"34"	180	0.069	0.032	0.158	NA	NA	NA	4.6	12.7	6.2	7.7	8	7.9	6.8	12.7	66.63	179.67	"83XAA04"	46	NA	19	29	98	27	8	NA	"83XAA04"	6	2.11	2.56	3.13	17.27	3.9	2.05
"1181"	1181	5	9	9	5	9	"2"	5	"2009"	"U07m"	"80XAA04"	"42"	125	0.036	0.027	0.136	NA	NA	NA	9	6.6	5.5	8.3	4.5	9.5	5.6	9.9	58.93	148.49	"80XAA04"	NA	41	26	21	43	8	24	5	"80XAA04"	7	2.7	1.85	4.32	13.68	2.58	3.1
"1182"	1182	5	9	9	6	9	"2"	4.9	"2009"	"U07m"	"80XAA04"	"42"	167	0.052	0.026	0.131	NA	NA	NA	4.5	7.7	5.8	7.9	4.6	9.3	6.7	7.9	54.38	125.43	"80XAA04"	44	26	21	24	40	9	8	24	"80XAA04"	8	3.13	1.57	5.1	14.26	2.19	3.66
"1183"	1183	5	9	9	7	9	"2"	4.6	"2009"	"U07m"	"80XAA04"	"42"	154	0.041	0.023	0.115	NA	NA	NA	4.4	8	5.4	8.2	4.1	7.4	6.5	9.3	53.34	118.9	"80XAA04"	43	21	24	19	49	27	9	8	"80XAA04"	8	3.18	1.45	5.52	13.51	1.8	4.43
"1184"	1184	5	9	9	8	9	"2"	5.5	"2009"	"U07m"	"80XAA04"	"42"	130	0.044	0.033	0.163	NA	NA	NA	4.9	8.2	6.2	9.1	5.8	6.9	5.6	9.6	56.32	134.36	"80XAA04"	40	24	19	16	24	41	27	9	"80XAA04"	8	3.14	1.75	4.56	15.45	2.8	2.86
"1189"	1189	5	9	9	13	9	"3"	4	"2009"	"U07m"	"80XAA04"	"44"	172	0.035	0.017	0.086	NA	NA	NA	6.2	12.7	6.7	12.7	4.5	7	4.9	6.7	61.37	157.5	"80XAA04"	9	NA	5	NA	34	27	28	30	"80XAA04"	6	2.19	1.83	4.38	9.58	2.26	3.54
"1190"	1190	5	9	9	14	9	"3"	4	"2009"	"U07m"	"80XAA04"	"44"	167	0.035	0.017	0.087	NA	NA	NA	4.5	9.4	9	10.8	4.6	12.7	4.9	6.9	62.92	163.05	"80XAA04"	34	5	NA	98	32	NA	27	28	"80XAA04"	6	2.07	1.93	4.15	13.01	2.31	3.46
"1191"	1191	5	9	9	15	9	"3"	3.8	"2009"	"U07m"	"80XAA04"	"44"	173	0.033	0.016	0.078	NA	NA	NA	4.4	12.7	7.6	10.1	5.7	7.7	9	6.8	63.98	173.45	"80XAA04"	34	NA	98	1	16	19	NA	27	"80XAA04"	6	1.71	2.22	3.61	14.58	2.93	2.73
"1192"	1192	5	9	9	16	9	"3"	2.2	"2009"	"U07m"	"80XAA04"	"44"	168	0.011	0.005	0.026	NA	NA	NA	3.3	9.7	6.2	4.4	2.6	4.9	4.2	12.7	47.98	91.64	"80XAA04"	32	98	1	36	48	29	19	NA	"80XAA04"	7	2.64	0.83	9.59	8.36	0.48	16.78
"1193"	1193	5	9	9	17	9	"6"	5.4	"2009"	"U07m"	"83XAA04"	"45"	185	0.073	0.032	0.162	NA	NA	NA	6.4	10.7	5.1	10.9	5.3	7.6	5.5	8.7	60.24	149.26	"83XAA04"	16	1	36	100	31	30	29	19	"83XAA04"	8	2.7	2	4	21.8	3.36	2.38
"1194"	1194	5	9	9	18	9	"6"	3.7	"2009"	"U07m"	"83XAA04"	"45"	189	0.035	0.015	0.075	NA	NA	NA	3.7	6	7.2	7.1	4	8.6	4.6	6.5	47.62	96.05	"83XAA04"	48	36	100	23	41	9	30	29	"83XAA04"	8	3.38	1.1	7.3	11.88	1.03	7.78
"1195"	1195	5	9	9	19	9	"6"	4.7	"2009"	"U07m"	"83XAA04"	"45"	135	0.035	0.024	0.121	NA	NA	NA	5	10.7	5.6	8.7	4.1	8.2	6.5	7.2	55.97	129.86	"83XAA04"	31	100	23	16	50	20	9	30	"83XAA04"	8	2.91	1.61	4.96	16.81	2.15	3.72
"1196"	1196	5	9	9	20	9	"6"	5.6	"2009"	"U07m"	"83XAA04"	"45"	168	0.069	0.034	0.171	NA	NA	NA	4.9	8.4	6.5	11.9	7.2	9.8	6.1	9.6	64.36	174.71	"83XAA04"	41	23	16	95	5	8	20	9	"83XAA04"	8	2.21	2.53	3.16	32.23	4.98	1.61
"1214"	1214	5	9	9	17	10	"6"	4.2	"2009"	"U07m"	"80XAA04"	"46"	145	0.032	0.02	0.098	NA	NA	NA	7.3	7	4.3	6.4	7.4	6.8	3.9	8.4	51.51	115.67	"80XAA04"	1	28	40	35	100	31	48	16	"80XAA04"	8	3.16	1.33	6.02	15.86	1.43	5.61
"1215"	1215	5	9	9	18	10	"6"	0.9	"2009"	"U07m"	"80XAA04"	"46"	11	0	0.001	0.004	NA	NA	NA	1.6	2.1	1.6	2.6	2.1	2	1.8	1.8	15.65	10.78	"80XAA04"	36	40	35	29	23	41	31	48	"80XAA04"	8	4.14	0.22	36.78	1.8	0.05	174.33
"1216"	1216	5	9	9	19	10	"6"	2.9	"2009"	"U07m"	"80XAA04"	"46"	142	0.014	0.009	0.046	NA	NA	NA	6.9	5.3	4.1	6.7	5.1	4.3	3.4	5.6	41.42	75.73	"80XAA04"	100	35	29	20	16	50	41	31	"80XAA04"	8	3.41	0.85	9.41	9.11	0.62	12.91
"1217"	1217	5	9	9	20	10	"6"	2.2	"2009"	"U07m"	"80XAA04"	"46"	167	0.01	0.005	0.026	NA	NA	NA	3.9	4.9	4.1	5.7	7.6	7.8	2.5	4.1	40.62	74.76	"80XAA04"	23	29	20	21	95	5	50	41	"80XAA04"	8	2.98	0.74	10.82	10.98	0.43	18.65
"1219"	1219	5	9	9	1	11	"1"	3.6	"2009"	"U07m"	"NM6"	"51"	176	0.029	0.014	0.069	NA	NA	NA	9	12.7	4.4	5.8	4.1	10.4	4	12.7	63.2	166.33	"NM6"	NA	NA	32	37	37	99	38	NA	"NM6"	5	2.2	1.64	4.89	7.94	1.45	5.51
"1220"	1220	5	9	9	2	11	"1"	4.3	"2009"	"U07m"	"NM6"	"51"	161	0.038	0.02	0.101	NA	NA	NA	4.9	6.8	4.5	7.1	4.3	7.6	7.6	6.3	49.09	104.54	"NM6"	30	32	37	28	40	23	99	38	"NM6"	8	3.47	1.24	6.47	13.36	1.38	5.79
"1221"	1221	5	9	9	3	11	"1"	4.6	"2009"	"U07m"	"NM6"	"51"	88	0.079	0.023	0.115	NA	NA	NA	4.7	6.6	5.2	7.3	5.3	6.3	5.5	10.8	51.69	113.07	"NM6"	37	37	28	28	26	41	23	99	"NM6"	8	3.38	1.36	5.87	14.6	1.67	4.8
"1222"	1222	5	9	9	4	11	"1"	3.2	"2009"	"U07m"	"NM6"	"51"	149	0.019	0.011	0.056	NA	NA	NA	3.7	6.2	4.4	5.7	3.9	6.4	3.6	6.7	40.54	68.6	"NM6"	40	28	28	33	36	26	41	23	"NM6"	8	3.79	0.84	9.47	6.94	0.7	11.51
"1223"	1223	5	9	9	5	11	"2"	4.2	"2009"	"U07m"	"NM6"	"52"	199	0.047	0.019	0.096	NA	NA	NA	5.1	7	4.7	5.6	4.7	7.7	5.1	6	45.91	91.15	"NM6"	26	28	33	48	33	21	26	41	"NM6"	8	3.8	1.11	7.24	9.24	1.17	6.86
"1224"	1224	5	9	9	6	11	"2"	3.9	"2009"	"U07m"	"NM6"	"52"	170	0.034	0.017	0.083	NA	NA	NA	4.3	6.4	3.8	5.6	4.3	7.2	5.3	7	43.83	82.4	"NM6"	36	33	48	44	37	24	21	26	"NM6"	8	3.96	0.98	8.13	8.3	0.92	8.68
"1225"	1225	5	9	9	7	11	"2"	4.3	"2009"	"U07m"	"NM6"	"52"	161	0.038	0.02	0.101	NA	NA	NA	4.7	5.6	4.2	6.4	3.8	8	5.3	7.8	45.89	89.22	"NM6"	33	48	44	36	54	19	24	21	"NM6"	8	4.09	1.05	7.6	9.25	1.02	7.87
"1226"	1226	5	9	9	8	11	"2"	6	"2009"	"U07m"	"NM6"	"52"	157	0.072	0.04	0.198	NA	NA	NA	5.2	6.9	5.3	8	9	9.3	6.4	8.5	58.67	151.83	"NM6"	37	44	36	29	NA	16	19	24	"NM6"	7	3.09	1.94	4.12	12.87	3.08	2.6
"1228"	1228	5	9	9	10	11	"3"	4.4	"2009"	"U07m"	"NM6"	"53"	175	0.044	0.021	0.105	NA	NA	NA	9	7.1	6.3	6	4.4	8.2	9	8.5	58.52	154.08	"NM6"	NA	29	10	43	40	18	NA	16	"NM6"	6	2.44	1.81	4.43	9.26	2.16	3.7
"1229"	1229	5	9	9	11	11	"3"	4.6	"2009"	"U07m"	"NM6"	"53"	185	0.052	0.023	0.115	NA	NA	NA	4.6	9	4.4	9	4.5	12.7	5.9	12.7	62.84	150.92	"NM6"	38	10	43	10	40	NA	18	NA	"NM6"	6	2.51	1.83	4.37	9.74	2.18	3.66
"1230"	1230	5	9	9	12	11	"3"	4.6	"2009"	"U07m"	"NM6"	"53"	175	0.049	0.023	0.115	NA	NA	NA	4.5	6.2	6.4	10.1	6.1	9.8	9	8.4	60.34	160.12	"NM6"	40	43	10	3	16	5	NA	18	"NM6"	7	2.32	1.98	4.04	15.49	2.7	2.97
"1231"	1231	5	9	9	13	11	"4"	2.2	"2009"	"U07m"	"NM6"	"54"	28	0.014	0.005	0.026	NA	NA	NA	2.9	6.8	5.8	4.8	5.4	12.7	5.5	12.7	56.7	126.85	"NM6"	40	10	3	30	6	NA	5	NA	"NM6"	6	1.78	1.24	6.45	7.12	0.89	8.96
"1232"	1232	5	9	9	14	11	"4"	1.5	"2009"	"U07m"	"NM6"	"54"	104	0.009	0.002	0.012	NA	NA	NA	3.6	7.1	2.6	4.4	3.1	8.7	9	6.6	45.14	91.18	"NM6"	16	3	30	22	23	98	NA	5	"NM6"	7	1.85	0.81	9.87	6.62	0.47	16.86
"1233"	1233	5	9	9	15	11	"4"	2.9	"2009"	"U07m"	"NM6"	"54"	194	0.022	0.009	0.046	NA	NA	NA	5.9	5.7	4.6	7.2	4.1	9.5	7.3	12.7	57.01	140.86	"NM6"	6	30	22	16	28	1	98	NA	"NM6"	7	1.9	1.53	5.24	12.99	1.64	4.87
"1234"	1234	5	9	9	16	11	"4"	3.4	"2009"	"U07m"	"NM6"	"54"	16	0.032	0.013	0.064	NA	NA	NA	4.9	7	5.5	7.1	3.8	5.7	7	10.6	51.42	114.55	"NM6"	23	22	16	21	40	36	1	98	"NM6"	8	2.64	1.29	6.21	15	1.35	5.94
"1235"	1235	5	9	9	17	11	"5"	4.6	"2009"	"U07m"	"NM6"	"55"	175	0.049	0.023	0.115	NA	NA	NA	5.2	8.6	5.7	7	4.8	10.6	4.7	10.5	56.99	130.85	"NM6"	28	16	21	32	35	100	36	1	"NM6"	8	2.79	1.65	4.85	18.29	2.28	3.52
"1236"	1236	5	9	9	18	11	"5"	4.1	"2009"	"U07m"	"NM6"	"55"	165	0.036	0.018	0.092	NA	NA	NA	4.2	7.7	4.7	6.2	4.9	7.5	7.4	6.3	48.78	103.19	"NM6"	40	21	32	37	29	23	100	36	"NM6"	8	3.36	1.22	6.56	12.56	1.34	5.98
"1237"	1237	5	9	9	19	11	"5"	3.5	"2009"	"U07m"	"NM6"	"55"	169	0.027	0.013	0.067	NA	NA	NA	4.1	6.1	4	6.5	5.2	7.8	4.9	10.1	48.77	98.98	"NM6"	35	32	37	28	20	16	23	100	"NM6"	8	3.02	1.16	6.91	11.65	1.19	6.7
"1238"	1238	5	9	9	20	11	"5"	2.6	"2009"	"U07m"	"NM6"	"55"	189	0.017	0.007	0.037	NA	NA	NA	3.8	4.8	3.9	5.3	4.4	11	4.9	6	44.12	83.32	"NM6"	29	37	28	31	21	95	16	23	"NM6"	8	2.89	0.9	8.88	12.36	0.71	11.34
"1256"	1256	5	9	9	17	12	"6"	2.7	"2009"	"U07m"	"NM6"	"56"	86	0.027	0.008	0.039	NA	NA	NA	5	12.7	9	12.7	3.7	5.1	3.3	5.6	57.17	149.27	"NM6"	16	NA	NA	NA	32	35	40	28	"NM6"	5	2.26	1.19	6.7	3.98	0.85	9.44
"1257"	1257	5	9	9	18	12	"6"	3.8	"2009"	"U07m"	"NM6"	"56"	148	0.027	0.016	0.081	NA	NA	NA	5.3	12.7	9	12.7	4.2	6.6	4.3	5.8	60.65	163.23	"NM6"	21	NA	NA	NA	37	29	35	40	"NM6"	5	2.4	1.58	5.05	5.13	1.52	5.26
"1258"	1258	5	9	9	19	12	"6"	4.3	"2009"	"U07m"	"NM6"	"56"	161	0.038	0.02	0.101	NA	NA	NA	4.8	12.7	9	12.7	5	7.9	5	6.5	63.67	175.56	"NM6"	32	NA	NA	NA	28	20	29	35	"NM6"	5	2.17	1.98	4.05	6.33	2.39	3.34
"1259"	1259	5	9	9	20	12	"6"	3.4	"2009"	"U07m"	"NM6"	"56"	150	0.021	0.012	0.062	NA	NA	NA	4	12.7	9	12.7	4.3	7.1	5.1	6.3	61.21	162	"NM6"	37	NA	NA	NA	31	21	20	29	"NM6"	5	2.1	1.62	4.94	5.25	1.58	5.06
"1273"	1273	4	9	9	13	1	"4"	4.1	"2008"	"U07m"	"83XAA04"	"4"	195	0.045	0.023	0.093	22	NA	NA	9	6.4	9	8.2	4.5	12.7	9	12.7	71.47	221.17	"83XAA04"	NA	35	NA	17	35	NA	NA	NA	"83XAA04"	3	1.31	3.12	2.56	3.78	3.46	2.31
"1274"	1274	4	9	9	14	1	"4"	4.1	"2008"	"U07m"	"83XAA04"	"4"	16	0.046	0.023	0.091	23	NA	NA	4.5	12.7	5.8	9.2	4.1	12.7	9	12.7	70.7	197.83	"83XAA04"	35	NA	17	7	43	NA	NA	NA	"83XAA04"	4	1.61	2.54	3.15	6.18	2.76	2.9
"1275"	1275	4	9	9	15	1	"4"	4.9	"2008"	"U07m"	"83XAA04"	"4"	55	0.079	0.033	0.133	21	NA	NA	4.9	8.7	6.8	12.7	5.3	12.7	9	12.7	72.78	216.61	"83XAA04"	35	17	7	NA	29	NA	NA	NA	"83XAA04"	4	1.44	3.41	2.35	7.79	5.2	1.54
"1276"	1276	4	9	9	16	1	"4"	3.5	"2008"	"U07m"	"83XAA04"	"4"	52	0.039	0.017	0.067	23	NA	NA	3.7	8.7	9	6.5	4.6	12.7	9	12.7	67.03	189.21	"83XAA04"	43	7	NA	28	27	NA	NA	NA	"83XAA04"	4	1.65	2.12	3.77	4.99	2	4
"1282"	1282	4	9	9	1	2	"1"	4	"2008"	"U07m"	"80XAA04"	"10"	156	0.031	0.022	0.087	23.9	NA	NA	9	12.7	4.4	6.1	5.5	9.6	5.7	12.7	65.82	186.32	"80XAA04"	NA	NA	35	38	19	4	17	NA	"80XAA04"	5	1.83	2.19	3.65	8.3	2.59	3.09
"1283"	1283	4	9	9	2	2	"1"	2.5	"2008"	"U07m"	"80XAA04"	"10"	196	0.016	0.009	0.034	18.1	NA	NA	3.5	4.8	3.3	5.3	4.3	5.9	5.9	6.6	39.62	69.03	"80XAA04"	34	35	38	29	21	23	4	17	"80XAA04"	8	3.15	0.79	10.08	7.32	0.57	13.94
"1284"	1284	4	9	9	3	2	"1"	2.7	"2008"	"U07m"	"80XAA04"	"10"	15	0.02	0.01	0.04	21	NA	NA	4.7	4.8	3.9	4.8	5.5	7.8	4.3	8.6	44.54	85.47	"80XAA04"	19	38	29	38	8	8	23	4	"80XAA04"	8	2.8	0.96	8.3	9.26	0.8	10.03
"1285"	1285	4	9	9	4	2	"1"	1.7	"2008"	"U07m"	"80XAA04"	"10"	14	0.008	0.004	0.016	15.5	NA	NA	3.5	4.2	2.5	4.7	2.9	5.2	4.5	4.7	32.15	44.69	"80XAA04"	21	29	38	23	29	19	8	23	"80XAA04"	8	3.01	0.56	14.18	4.84	0.3	26.68
"1298"	1298	4	9	9	17	2	"5"	3.4	"2008"	"U07m"	"80XAA04"	"6"	27	0.034	0.016	0.063	20	NA	NA	9	6.5	4.2	6.1	4.5	5.6	4.6	6.3	46.7	96.95	"80XAA04"	NA	27	33	31	28	37	27	29	"80XAA04"	7	3.17	1.07	7.47	6.61	0.99	8.04
"1299"	1299	4	9	9	18	2	"5"	3.4	"2008"	"U07m"	"80XAA04"	"6"	14	0.031	0.016	0.062	20.2	NA	NA	4.5	5.9	4.3	7.1	3.6	5.9	4	6.5	41.84	73.73	"80XAA04"	28	33	31	21	44	33	37	27	"80XAA04"	8	3.77	0.9	8.88	7.42	0.79	10.15
